"Date","jurisdiction","Daily Case Rate / 100,000","Seven-day Average Case Rate"
2020-07-09,"Bear River",14.5,12.2
2020-07-09,"Central Utah",23.2,11.9
2020-07-09,"Davis County",24.2,17
2020-07-09,"Salt Lake County",35.2,25.1
2020-07-09,"San Juan",71.9,45.7
2020-07-09,"Southeast Utah",7.5,2.8
2020-07-09,"Southwest Utah",27,18.4
2020-07-09,"Summit County",28.5,18.6
2020-07-09,"Tooele County",18,13.2
2020-07-09,"TriCounty",0,3
2020-07-09,"Utah County",25.8,18.6
2020-07-09,"Wasatch County",17.6,12.2
2020-07-09,"Weber-Morgan",21.3,20.8
2020-07-10,"Bear River",11.8,11
2020-07-10,"Central Utah",2.4,11.2
2020-07-10,"Davis County",19.7,17.6
2020-07-10,"Salt Lake County",21.8,24.4
2020-07-10,"San Juan",78.4,51.3
2020-07-10,"Southeast Utah",7.5,3.9
2020-07-10,"Southwest Utah",23.8,19.9
2020-07-10,"Summit County",33.2,21.4
2020-07-10,"Tooele County",11.1,13
2020-07-10,"TriCounty",7.1,3.5
2020-07-10,"Utah County",21.7,18.7
2020-07-10,"Wasatch County",5.9,12.6
2020-07-10,"Weber-Morgan",13.6,18.9
2020-07-11,"Bear River",16.6,11.9
2020-07-11,"Central Utah",6.1,10.8
2020-07-11,"Davis County",16.3,18.2
2020-07-11,"Salt Lake County",23.8,25.4
2020-07-11,"San Juan",78.4,61.6
2020-07-11,"Southeast Utah",0,3.9
2020-07-11,"Southwest Utah",24.6,21.7
2020-07-11,"Summit County",23.7,23
2020-07-11,"Tooele County",18,14.8
2020-07-11,"TriCounty",7.1,4.3
2020-07-11,"Utah County",15.6,19.1
2020-07-11,"Wasatch County",17.6,14.2
2020-07-11,"Weber-Morgan",25,21.1
2020-07-12,"Bear River",13.9,12.5
2020-07-12,"Central Utah",1.2,9.4
2020-07-12,"Davis County",18.6,18.6
2020-07-12,"Salt Lake County",23.1,26.2
2020-07-12,"San Juan",19.6,62.5
2020-07-12,"Southeast Utah",5,4.3
2020-07-12,"Southwest Utah",20.6,22.2
2020-07-12,"Summit County",14.2,20.3
2020-07-12,"Tooele County",16.6,15.8
2020-07-12,"TriCounty",3.5,4.8
2020-07-12,"Utah County",19.2,19.6
2020-07-12,"Wasatch County",17.6,15.1
2020-07-12,"Weber-Morgan",9.2,18.2
2020-07-13,"Bear River",4.3,11.9
2020-07-13,"Central Utah",2.4,8.2
2020-07-13,"Davis County",19.7,19.2
2020-07-13,"Salt Lake County",18,25.8
2020-07-13,"San Juan",13.1,64.4
2020-07-13,"Southeast Utah",0,4.3
2020-07-13,"Southwest Utah",7.1,19.1
2020-07-13,"Summit County",9.5,20
2020-07-13,"Tooele County",8.3,13.8
2020-07-13,"TriCounty",1.8,4.8
2020-07-13,"Utah County",10.2,18.6
2020-07-13,"Wasatch County",2.9,15.1
2020-07-13,"Weber-Morgan",33.8,20.4
2020-07-14,"Bear River",2.7,9.9
2020-07-14,"Central Utah",4.9,7.3
2020-07-14,"Davis County",13.2,18.9
2020-07-14,"Salt Lake County",19.2,24
2020-07-14,"San Juan",65.3,66.3
2020-07-14,"Southeast Utah",0,3.6
2020-07-14,"Southwest Utah",5.6,17.9
2020-07-14,"Summit County",4.7,19
2020-07-14,"Tooele County",6.9,13
2020-07-14,"TriCounty",14.1,6.1
2020-07-14,"Utah County",13.5,17.4
2020-07-14,"Wasatch County",5.9,12.2
2020-07-14,"Weber-Morgan",20.2,19.2
2020-07-15,"Bear River",10.7,10.6
2020-07-15,"Central Utah",7.3,6.8
2020-07-15,"Davis County",17.7,18.5
2020-07-15,"Salt Lake County",25.6,23.8
2020-07-15,"San Juan",19.6,49.5
2020-07-15,"Southeast Utah",0,2.8
2020-07-15,"Southwest Utah",29.8,19.8
2020-07-15,"Summit County",19,19
2020-07-15,"Tooele County",24.9,14.8
2020-07-15,"TriCounty",3.5,5.3
2020-07-15,"Utah County",24,18.6
2020-07-15,"Wasatch County",17.6,12.2
2020-07-15,"Weber-Morgan",21.3,20.6
2020-07-16,"Bear River",17.1,11
2020-07-16,"Central Utah",14.6,5.6
2020-07-16,"Davis County",19.7,17.8
2020-07-16,"Salt Lake County",20.3,21.7
2020-07-16,"San Juan",45.7,45.7
2020-07-16,"Southeast Utah",2.5,2.1
2020-07-16,"Southwest Utah",31.7,20.5
2020-07-16,"Summit County",19,17.6
2020-07-16,"Tooele County",22.1,15.4
2020-07-16,"TriCounty",17.7,7.8
2020-07-16,"Utah County",26.4,18.7
2020-07-16,"Wasatch County",11.7,11.3
2020-07-16,"Weber-Morgan",37.8,23
2020-07-17,"Bear River",16.6,11.7
2020-07-17,"Central Utah",6.1,6.1
2020-07-17,"Davis County",18.8,17.7
2020-07-17,"Salt Lake County",24.4,22.1
2020-07-17,"San Juan",65.3,43.9
2020-07-17,"Southeast Utah",2.5,1.4
2020-07-17,"Southwest Utah",21.4,20.1
2020-07-17,"Summit County",16.6,15.3
2020-07-17,"Tooele County",9.7,15.2
2020-07-17,"TriCounty",19.4,9.6
2020-07-17,"Utah County",30.8,20
2020-07-17,"Wasatch County",20.5,13.4
2020-07-17,"Weber-Morgan",23.1,24.3
2020-07-18,"Bear River",18.2,11.9
2020-07-18,"Central Utah",7.3,6.3
2020-07-18,"Davis County",21.4,18.4
2020-07-18,"Salt Lake County",29.6,22.9
2020-07-18,"San Juan",163.3,56
2020-07-18,"Southeast Utah",5,2.1
2020-07-18,"Southwest Utah",29,20.7
2020-07-18,"Summit County",35.6,16.9
2020-07-18,"Tooele County",23.5,16
2020-07-18,"TriCounty",5.3,9.3
2020-07-18,"Utah County",23.3,21.1
2020-07-18,"Wasatch County",20.5,13.8
2020-07-18,"Weber-Morgan",19.5,23.6
2020-07-19,"Bear River",8,11.1
2020-07-19,"Central Utah",1.2,6.3
2020-07-19,"Davis County",9.8,17.2
2020-07-19,"Salt Lake County",14.4,21.7
2020-07-19,"San Juan",13.1,55.1
2020-07-19,"Southeast Utah",7.5,2.5
2020-07-19,"Southwest Utah",23,21.1
2020-07-19,"Summit County",4.7,15.6
2020-07-19,"Tooele County",9.7,15
2020-07-19,"TriCounty",8.8,10.1
2020-07-19,"Utah County",15.2,20.5
2020-07-19,"Wasatch County",2.9,11.7
2020-07-19,"Weber-Morgan",7,23.2
2020-07-20,"Bear River",4.3,11.1
2020-07-20,"Central Utah",3.7,6.4
2020-07-20,"Davis County",12.7,16.2
2020-07-20,"Salt Lake County",15.5,21.3
2020-07-20,"San Juan",45.7,59.7
2020-07-20,"Southeast Utah",7.5,3.6
2020-07-20,"Southwest Utah",10.3,21.5
2020-07-20,"Summit County",9.5,15.6
2020-07-20,"Tooele County",2.8,14.2
2020-07-20,"TriCounty",10.6,11.4
2020-07-20,"Utah County",18.5,21.7
2020-07-20,"Wasatch County",14.7,13.4
2020-07-20,"Weber-Morgan",14.7,20.5
2020-07-21,"Bear River",9.6,12.1
2020-07-21,"Central Utah",1.2,5.9
2020-07-21,"Davis County",14.1,16.3
2020-07-21,"Salt Lake County",22.1,21.7
2020-07-21,"San Juan",13.1,52.3
2020-07-21,"Southeast Utah",2.5,3.9
2020-07-21,"Southwest Utah",13.9,22.7
2020-07-21,"Summit County",2.4,15.3
2020-07-21,"Tooele County",16.6,15.6
2020-07-21,"TriCounty",7.1,10.3
2020-07-21,"Utah County",20.9,22.7
2020-07-21,"Wasatch County",5.9,13.4
2020-07-21,"Weber-Morgan",15.1,19.8
2020-07-22,"Bear River",6.4,11.5
2020-07-22,"Central Utah",7.3,5.9
2020-07-22,"Davis County",16.6,16.2
2020-07-22,"Salt Lake County",20,20.9
2020-07-22,"San Juan",19.6,52.3
2020-07-22,"Southeast Utah",9.9,5.3
2020-07-22,"Southwest Utah",11.5,20.1
2020-07-22,"Summit County",16.6,14.9
2020-07-22,"Tooele County",19.4,14.8
2020-07-22,"TriCounty",8.8,11.1
2020-07-22,"Utah County",13.8,21.3
2020-07-22,"Wasatch County",2.9,11.3
2020-07-22,"Weber-Morgan",18.7,19.4
2020-07-23,"Bear River",26.2,12.8
2020-07-23,"Central Utah",14.6,5.9
2020-07-23,"Davis County",25.6,17
2020-07-23,"Salt Lake County",27.9,22
2020-07-23,"San Juan",91.5,58.8
2020-07-23,"Southeast Utah",5,5.7
2020-07-23,"Southwest Utah",31.7,20.1
2020-07-23,"Summit County",21.4,15.3
2020-07-23,"Tooele County",16.6,14
2020-07-23,"TriCounty",8.8,9.8
2020-07-23,"Utah County",31.1,22
2020-07-23,"Wasatch County",20.5,12.6
2020-07-23,"Weber-Morgan",24.6,17.5
2020-07-24,"Bear River",16.6,12.8
2020-07-24,"Central Utah",6.1,5.9
2020-07-24,"Davis County",11.8,16
2020-07-24,"Salt Lake County",24.3,22
2020-07-24,"San Juan",98,63.5
2020-07-24,"Southeast Utah",2.5,5.7
2020-07-24,"Southwest Utah",24.2,20.5
2020-07-24,"Summit County",14.2,14.9
2020-07-24,"Tooele County",8.3,13.8
2020-07-24,"TriCounty",5.3,7.8
2020-07-24,"Utah County",25,21.1
2020-07-24,"Wasatch County",17.6,12.2
2020-07-24,"Weber-Morgan",18.7,16.9
2020-07-25,"Bear River",7.5,11.2
2020-07-25,"Central Utah",9.8,6.3
2020-07-25,"Davis County",10.4,14.4
2020-07-25,"Salt Lake County",10.5,19.2
2020-07-25,"San Juan",0,40.1
2020-07-25,"Southeast Utah",0,5
2020-07-25,"Southwest Utah",6.3,17.3
2020-07-25,"Summit County",16.6,12.2
2020-07-25,"Tooele County",11.1,12.1
2020-07-25,"TriCounty",3.5,7.6
2020-07-25,"Utah County",15.9,20.1
2020-07-25,"Wasatch County",8.8,10.5
2020-07-25,"Weber-Morgan",14.7,16.2
2020-07-26,"Bear River",4.8,10.8
2020-07-26,"Central Utah",6.1,7
2020-07-26,"Davis County",13.5,14.9
2020-07-26,"Salt Lake County",15.9,19.5
2020-07-26,"San Juan",52.3,45.7
2020-07-26,"Southeast Utah",0,3.9
2020-07-26,"Southwest Utah",12.3,15.8
2020-07-26,"Summit County",7.1,12.5
2020-07-26,"Tooele County",15.2,12.9
2020-07-26,"TriCounty",7.1,7.3
2020-07-26,"Utah County",16.5,20.3
2020-07-26,"Wasatch County",0,10.1
2020-07-26,"Weber-Morgan",9.5,16.6
2020-07-27,"Bear River",2.1,10.5
2020-07-27,"Central Utah",3.7,7
2020-07-27,"Davis County",11,14.7
2020-07-27,"Salt Lake County",13.7,19.2
2020-07-27,"San Juan",6.5,40.1
2020-07-27,"Southeast Utah",5,3.6
2020-07-27,"Southwest Utah",11.9,16
2020-07-27,"Summit County",2.4,11.5
2020-07-27,"Tooele County",13.8,14.4
2020-07-27,"TriCounty",1.8,6.1
2020-07-27,"Utah County",18.1,20.2
2020-07-27,"Wasatch County",8.8,9.2
2020-07-27,"Weber-Morgan",20.2,17.4
2020-07-28,"Bear River",4.3,9.7
2020-07-28,"Central Utah",7.3,7.8
2020-07-28,"Davis County",10.1,14.1
2020-07-28,"Salt Lake County",13.4,18
2020-07-28,"San Juan",26.1,42
2020-07-28,"Southeast Utah",14.9,5.3
2020-07-28,"Southwest Utah",5.6,14.8
2020-07-28,"Summit County",11.9,12.9
2020-07-28,"Tooele County",4.2,12.7
2020-07-28,"TriCounty",3.5,5.6
2020-07-28,"Utah County",7.5,18.3
2020-07-28,"Wasatch County",8.8,9.6
2020-07-28,"Weber-Morgan",18.4,17.8
2020-07-29,"Bear River",15,10.9
2020-07-29,"Central Utah",4.9,7.5
2020-07-29,"Davis County",11.3,13.4
2020-07-29,"Salt Lake County",20.3,18
2020-07-29,"San Juan",71.9,49.5
2020-07-29,"Southeast Utah",7.5,5
2020-07-29,"Southwest Utah",11.5,14.8
2020-07-29,"Summit County",7.1,11.5
2020-07-29,"Tooele County",9.7,11.3
2020-07-29,"TriCounty",8.8,5.6
2020-07-29,"Utah County",15.6,18.5
2020-07-29,"Wasatch County",5.9,10.1
2020-07-29,"Weber-Morgan",10.6,16.7
2020-07-30,"Bear River",5.9,8
2020-07-30,"Central Utah",7.3,6.4
2020-07-30,"Davis County",13.2,11.6
2020-07-30,"Salt Lake County",18.6,16.7
2020-07-30,"San Juan",45.7,42.9
2020-07-30,"Southeast Utah",5,5
2020-07-30,"Southwest Utah",19.4,13
2020-07-30,"Summit County",9.5,9.8
2020-07-30,"Tooele County",4.2,9.5
2020-07-30,"TriCounty",3.5,4.8
2020-07-30,"Utah County",17.3,16.5
2020-07-30,"Wasatch County",8.8,8.4
2020-07-30,"Weber-Morgan",17.3,15.6
2020-07-31,"Bear River",9.6,7
2020-07-31,"Central Utah",7.3,6.6
2020-07-31,"Davis County",12.4,11.7
2020-07-31,"Salt Lake County",17.6,15.7
2020-07-31,"San Juan",65.3,38.3
2020-07-31,"Southeast Utah",7.5,5.7
2020-07-31,"Southwest Utah",14.7,11.7
2020-07-31,"Summit County",4.7,8.5
2020-07-31,"Tooele County",9.7,9.7
2020-07-31,"TriCounty",15.9,6.3
2020-07-31,"Utah County",17.6,15.5
2020-07-31,"Wasatch County",2.9,6.3
2020-07-31,"Weber-Morgan",14.3,15
2020-08-01,"Bear River",9.6,7.3
2020-08-01,"Central Utah",6.1,6.1
2020-08-01,"Davis County",15.5,12.4
2020-08-01,"Salt Lake County",15.1,16.4
2020-08-01,"San Juan",6.5,39.2
2020-08-01,"Southeast Utah",2.5,6
2020-08-01,"Southwest Utah",17.5,13.3
2020-08-01,"Summit County",9.5,7.5
2020-08-01,"Tooele County",8.3,9.3
2020-08-01,"TriCounty",1.8,6.1
2020-08-01,"Utah County",22.8,16.5
2020-08-01,"Wasatch County",14.7,7.1
2020-08-01,"Weber-Morgan",7.7,14
2020-08-02,"Bear River",9.1,8
2020-08-02,"Central Utah",8.5,6.4
2020-08-02,"Davis County",5.1,11.2
2020-08-02,"Salt Lake County",11.7,15.8
2020-08-02,"San Juan",0,31.7
2020-08-02,"Southeast Utah",2.5,6.4
2020-08-02,"Southwest Utah",11.9,13.2
2020-08-02,"Summit County",4.7,7.1
2020-08-02,"Tooele County",9.7,8.5
2020-08-02,"TriCounty",5.3,5.8
2020-08-02,"Utah County",16,16.4
2020-08-02,"Wasatch County",8.8,8.4
2020-08-02,"Weber-Morgan",5.5,13.4
2020-08-03,"Bear River",3.7,8.2
2020-08-03,"Central Utah",8.5,7.1
2020-08-03,"Davis County",8.2,10.8
2020-08-03,"Salt Lake County",11.1,15.4
2020-08-03,"San Juan",13.1,32.7
2020-08-03,"Southeast Utah",14.9,7.8
2020-08-03,"Southwest Utah",11.9,13.2
2020-08-03,"Summit County",2.4,7.1
2020-08-03,"Tooele County",15.2,8.7
2020-08-03,"TriCounty",5.3,6.3
2020-08-03,"Utah County",18.1,16.4
2020-08-03,"Wasatch County",8.8,8.4
2020-08-03,"Weber-Morgan",9.9,12
2020-08-04,"Bear River",5.4,8.3
2020-08-04,"Central Utah",8.5,7.3
2020-08-04,"Davis County",9.6,10.7
2020-08-04,"Salt Lake County",16.4,15.8
2020-08-04,"San Juan",13.1,30.8
2020-08-04,"Southeast Utah",5,6.4
2020-08-04,"Southwest Utah",13.1,14.3
2020-08-04,"Summit County",4.7,6.1
2020-08-04,"Tooele County",11.1,9.7
2020-08-04,"TriCounty",1.8,6.1
2020-08-04,"Utah County",16.2,17.6
2020-08-04,"Wasatch County",5.9,8
2020-08-04,"Weber-Morgan",6.6,10.3
2020-08-05,"Bear River",12.3,8
2020-08-05,"Central Utah",6.1,7.5
2020-08-05,"Davis County",9.3,10.4
2020-08-05,"Salt Lake County",18.2,15.5
2020-08-05,"San Juan",78.4,31.7
2020-08-05,"Southeast Utah",17.4,7.8
2020-08-05,"Southwest Utah",20.2,15.5
2020-08-05,"Summit County",11.9,6.8
2020-08-05,"Tooele County",12.5,10.1
2020-08-05,"TriCounty",5.3,5.6
2020-08-05,"Utah County",25.5,19.1
2020-08-05,"Wasatch County",26.4,10.9
2020-08-05,"Weber-Morgan",17.6,11.3
2020-08-06,"Bear River",15,9.3
2020-08-06,"Central Utah",11,8
2020-08-06,"Davis County",7.9,9.7
2020-08-06,"Salt Lake County",17.6,15.4
2020-08-06,"San Juan",6.5,26.1
2020-08-06,"Southeast Utah",5,7.8
2020-08-06,"Southwest Utah",13.1,14.6
2020-08-06,"Summit County",2.4,5.8
2020-08-06,"Tooele County",8.3,10.7
2020-08-06,"TriCounty",3.5,5.6
2020-08-06,"Utah County",16.7,19
2020-08-06,"Wasatch County",14.7,11.7
2020-08-06,"Weber-Morgan",10.3,10.3
2020-08-07,"Bear River",8.6,9.1
2020-08-07,"Central Utah",6.1,7.8
2020-08-07,"Davis County",10.7,9.4
2020-08-07,"Salt Lake County",13.8,14.8
2020-08-07,"San Juan",0,16.8
2020-08-07,"Southeast Utah",9.9,8.2
2020-08-07,"Southwest Utah",9.9,13.9
2020-08-07,"Summit County",9.5,6.4
2020-08-07,"Tooele County",4.2,9.9
2020-08-07,"TriCounty",7.1,4.3
2020-08-07,"Utah County",15.1,18.6
2020-08-07,"Wasatch County",20.5,14.2
2020-08-07,"Weber-Morgan",8.1,9.4
2020-08-08,"Bear River",5.9,8.6
2020-08-08,"Central Utah",7.3,8
2020-08-08,"Davis County",9,8.5
2020-08-08,"Salt Lake County",15.4,14.9
2020-08-08,"San Juan",0,15.9
2020-08-08,"Southeast Utah",5,8.5
2020-08-08,"Southwest Utah",7.5,12.5
2020-08-08,"Summit County",4.7,5.8
2020-08-08,"Tooele County",4.2,9.3
2020-08-08,"TriCounty",3.5,4.5
2020-08-08,"Utah County",14.9,17.5
2020-08-08,"Wasatch County",11.7,13.8
2020-08-08,"Weber-Morgan",9.5,9.7
2020-08-09,"Bear River",8,8.4
2020-08-09,"Central Utah",0,6.8
2020-08-09,"Davis County",2,8.1
2020-08-09,"Salt Lake County",10.2,14.7
2020-08-09,"San Juan",13.1,17.7
2020-08-09,"Southeast Utah",7.5,9.2
2020-08-09,"Southwest Utah",5.6,11.6
2020-08-09,"Summit County",4.7,5.8
2020-08-09,"Tooele County",4.2,8.5
2020-08-09,"TriCounty",0,3.8
2020-08-09,"Utah County",12.6,17
2020-08-09,"Wasatch County",11.7,14.2
2020-08-09,"Weber-Morgan",8.8,10.1
2020-08-10,"Bear River",8,9
2020-08-10,"Central Utah",3.7,6.1
2020-08-10,"Davis County",6.8,7.9
2020-08-10,"Salt Lake County",14,15.1
2020-08-10,"San Juan",26.1,19.6
2020-08-10,"Southeast Utah",5,7.8
2020-08-10,"Southwest Utah",6.7,10.9
2020-08-10,"Summit County",2.4,5.8
2020-08-10,"Tooele County",0,6.3
2020-08-10,"TriCounty",3.5,3.5
2020-08-10,"Utah County",14,16.4
2020-08-10,"Wasatch County",20.5,15.9
2020-08-10,"Weber-Morgan",9.5,10.1
2020-08-11,"Bear River",5.9,9.1
2020-08-11,"Central Utah",8.5,6.1
2020-08-11,"Davis County",10.4,8
2020-08-11,"Salt Lake County",11,14.3
2020-08-11,"San Juan",6.5,18.7
2020-08-11,"Southeast Utah",0,7.1
2020-08-11,"Southwest Utah",3.2,9.5
2020-08-11,"Summit County",4.7,5.8
2020-08-11,"Tooele County",5.5,5.5
2020-08-11,"TriCounty",0,3.3
2020-08-11,"Utah County",14,16.1
2020-08-11,"Wasatch County",17.6,17.6
2020-08-11,"Weber-Morgan",10.3,10.6
2020-08-12,"Bear River",5.9,8.2
2020-08-12,"Central Utah",6.1,6.1
2020-08-12,"Davis County",6.8,7.6
2020-08-12,"Salt Lake County",14.3,13.8
2020-08-12,"San Juan",13.1,9.3
2020-08-12,"Southeast Utah",2.5,5
2020-08-12,"Southwest Utah",6,7.4
2020-08-12,"Summit County",7.1,5.1
2020-08-12,"Tooele County",8.3,4.9
2020-08-12,"TriCounty",1.8,2.8
2020-08-12,"Utah County",12.1,14.2
2020-08-12,"Wasatch County",5.9,14.7
2020-08-12,"Weber-Morgan",7.7,9.2
2020-08-13,"Bear River",8,7.2
2020-08-13,"Central Utah",3.7,5.1
2020-08-13,"Davis County",11.8,8.2
2020-08-13,"Salt Lake County",22.3,14.4
2020-08-13,"San Juan",26.1,12.1
2020-08-13,"Southeast Utah",2.5,4.6
2020-08-13,"Southwest Utah",9.9,7
2020-08-13,"Summit County",14.2,6.8
2020-08-13,"Tooele County",8.3,4.9
2020-08-13,"TriCounty",5.3,3
2020-08-13,"Utah County",25.5,15.4
2020-08-13,"Wasatch County",11.7,14.2
2020-08-13,"Weber-Morgan",10.3,9.2
2020-08-14,"Bear River",5.9,6.8
2020-08-14,"Central Utah",2.4,4.5
2020-08-14,"Davis County",8.7,7.9
2020-08-14,"Salt Lake County",13.9,14.4
2020-08-14,"San Juan",0,12.1
2020-08-14,"Southeast Utah",0,3.2
2020-08-14,"Southwest Utah",9.5,6.9
2020-08-14,"Summit County",14.2,7.5
2020-08-14,"Tooele County",13.8,6.3
2020-08-14,"TriCounty",8.8,3.3
2020-08-14,"Utah County",14.5,15.4
2020-08-14,"Wasatch County",14.7,13.4
2020-08-14,"Weber-Morgan",3.7,8.6
2020-08-15,"Bear River",4.8,6.7
2020-08-15,"Central Utah",11,5.1
2020-08-15,"Davis County",7.3,7.7
2020-08-15,"Salt Lake County",12.8,14.1
2020-08-15,"San Juan",0,12.1
2020-08-15,"Southeast Utah",0,2.5
2020-08-15,"Southwest Utah",3.6,6.3
2020-08-15,"Summit County",7.1,7.8
2020-08-15,"Tooele County",8.3,6.9
2020-08-15,"TriCounty",0,2.8
2020-08-15,"Utah County",15.6,15.4
2020-08-15,"Wasatch County",17.6,14.2
2020-08-15,"Weber-Morgan",8.4,8.4
2020-08-16,"Bear River",2.1,5.8
2020-08-16,"Central Utah",0,5.1
2020-08-16,"Davis County",2.5,7.8
2020-08-16,"Salt Lake County",8.5,13.8
2020-08-16,"San Juan",0,10.3
2020-08-16,"Southeast Utah",2.5,1.8
2020-08-16,"Southwest Utah",7.9,6.7
2020-08-16,"Summit County",33.2,11.9
2020-08-16,"Tooele County",2.8,6.7
2020-08-16,"TriCounty",1.8,3
2020-08-16,"Utah County",12.4,15.4
2020-08-16,"Wasatch County",2.9,13
2020-08-16,"Weber-Morgan",3.3,7.6
2020-08-17,"Bear River",4.8,5.4
2020-08-17,"Central Utah",2.4,4.9
2020-08-17,"Davis County",5.3,7.6
2020-08-17,"Salt Lake County",7.3,12.9
2020-08-17,"San Juan",13.1,8.4
2020-08-17,"Southeast Utah",0,1.1
2020-08-17,"Southwest Utah",6.7,6.7
2020-08-17,"Summit County",28.5,15.6
2020-08-17,"Tooele County",4.2,7.3
2020-08-17,"TriCounty",1.8,2.8
2020-08-17,"Utah County",14.8,15.5
2020-08-17,"Wasatch County",0,10.1
2020-08-17,"Weber-Morgan",6.6,7.2
2020-08-18,"Bear River",4.8,5.2
2020-08-18,"Central Utah",12.2,5.4
2020-08-18,"Davis County",7,7.1
2020-08-18,"Salt Lake County",13.1,13.2
2020-08-18,"San Juan",6.5,8.4
2020-08-18,"Southeast Utah",5,1.8
2020-08-18,"Southwest Utah",9.9,7.7
2020-08-18,"Summit County",16.6,17.3
2020-08-18,"Tooele County",8.3,7.7
2020-08-18,"TriCounty",1.8,3
2020-08-18,"Utah County",16.5,15.9
2020-08-18,"Wasatch County",2.9,8
2020-08-18,"Weber-Morgan",7.3,6.8
2020-08-19,"Bear River",7.5,5.4
2020-08-19,"Central Utah",3.7,5.1
2020-08-19,"Davis County",7.9,7.2
2020-08-19,"Salt Lake County",18,13.7
2020-08-19,"San Juan",6.5,7.5
2020-08-19,"Southeast Utah",0,1.4
2020-08-19,"Southwest Utah",9.5,8.2
2020-08-19,"Summit County",49.8,23.4
2020-08-19,"Tooele County",0,6.5
2020-08-19,"TriCounty",3.5,3.3
2020-08-19,"Utah County",17.4,16.7
2020-08-19,"Wasatch County",8.8,8.4
2020-08-19,"Weber-Morgan",15.4,7.9
2020-08-20,"Bear River",10.2,5.7
2020-08-20,"Central Utah",2.4,4.9
2020-08-20,"Davis County",12.9,7.4
2020-08-20,"Salt Lake County",16,12.8
2020-08-20,"San Juan",13.1,5.6
2020-08-20,"Southeast Utah",17.4,3.6
2020-08-20,"Southwest Utah",8.3,7.9
2020-08-20,"Summit County",11.9,23
2020-08-20,"Tooele County",2.8,5.7
2020-08-20,"TriCounty",3.5,3
2020-08-20,"Utah County",24.5,16.5
2020-08-20,"Wasatch County",11.7,8.4
2020-08-20,"Weber-Morgan",11.4,8
2020-08-21,"Bear River",12.8,6.7
2020-08-21,"Central Utah",4.9,5.2
2020-08-21,"Davis County",13.8,8.1
2020-08-21,"Salt Lake County",12.8,12.7
2020-08-21,"San Juan",6.5,6.5
2020-08-21,"Southeast Utah",2.5,3.9
2020-08-21,"Southwest Utah",6,7.4
2020-08-21,"Summit County",33.2,25.8
2020-08-21,"Tooele County",4.2,4.3
2020-08-21,"TriCounty",0,1.8
2020-08-21,"Utah County",14.3,16.5
2020-08-21,"Wasatch County",5.9,7.1
2020-08-21,"Weber-Morgan",8.1,8.7
2020-08-22,"Bear River",8.6,7.3
2020-08-22,"Central Utah",6.1,4.5
2020-08-22,"Davis County",6.2,8
2020-08-22,"Salt Lake County",11.1,12.4
2020-08-22,"San Juan",0,6.5
2020-08-22,"Southeast Utah",0,3.9
2020-08-22,"Southwest Utah",4,7.5
2020-08-22,"Summit County",7.1,25.8
2020-08-22,"Tooele County",8.3,4.3
2020-08-22,"TriCounty",0,1.8
2020-08-22,"Utah County",12.7,16.1
2020-08-22,"Wasatch County",14.7,6.7
2020-08-22,"Weber-Morgan",7.7,8.6
2020-08-23,"Bear River",4.3,7.6
2020-08-23,"Central Utah",2.4,4.9
2020-08-23,"Davis County",3.4,8.1
2020-08-23,"Salt Lake County",10.3,12.7
2020-08-23,"San Juan",6.5,7.5
2020-08-23,"Southeast Utah",14.9,5.7
2020-08-23,"Southwest Utah",3.6,6.9
2020-08-23,"Summit County",11.9,22.7
2020-08-23,"Tooele County",4.2,4.5
2020-08-23,"TriCounty",1.8,1.8
2020-08-23,"Utah County",10.5,15.8
2020-08-23,"Wasatch County",2.9,6.7
2020-08-23,"Weber-Morgan",5.1,8.8
2020-08-24,"Bear River",4.3,7.5
2020-08-24,"Central Utah",4.9,5.2
2020-08-24,"Davis County",12.1,9
2020-08-24,"Salt Lake County",12.3,13.4
2020-08-24,"San Juan",0,5.6
2020-08-24,"Southeast Utah",0,5.7
2020-08-24,"Southwest Utah",9.1,7.2
2020-08-24,"Summit County",16.6,21
2020-08-24,"Tooele County",6.9,4.9
2020-08-24,"TriCounty",3.5,2
2020-08-24,"Utah County",20.9,16.7
2020-08-24,"Wasatch County",14.7,8.8
2020-08-24,"Weber-Morgan",10.6,9.4
2020-08-25,"Bear River",5.9,7.6
2020-08-25,"Central Utah",8.5,4.7
2020-08-25,"Davis County",11.8,9.7
2020-08-25,"Salt Lake County",13,13.4
2020-08-25,"San Juan",0,4.7
2020-08-25,"Southeast Utah",5,5.7
2020-08-25,"Southwest Utah",7.9,6.9
2020-08-25,"Summit County",11.9,20.3
2020-08-25,"Tooele County",16.6,6.1
2020-08-25,"TriCounty",3.5,2.3
2020-08-25,"Utah County",19.8,17.2
2020-08-25,"Wasatch County",14.7,10.5
2020-08-25,"Weber-Morgan",11,9.9
2020-08-26,"Bear River",8.6,7.8
2020-08-26,"Central Utah",3.7,4.7
2020-08-26,"Davis County",8.2,9.8
2020-08-26,"Salt Lake County",15.5,13
2020-08-26,"San Juan",0,3.7
2020-08-26,"Southeast Utah",2.5,6
2020-08-26,"Southwest Utah",7.1,6.6
2020-08-26,"Summit County",11.9,14.9
2020-08-26,"Tooele County",11.1,7.7
2020-08-26,"TriCounty",3.5,2.3
2020-08-26,"Utah County",15.6,16.9
2020-08-26,"Wasatch County",2.9,9.6
2020-08-26,"Weber-Morgan",9.2,9
